atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,data,value,proportion,index,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,file_name,full_file_name,predator_name,predator_taxa,latitude,longitude
ROC,adult,HE,Teleostei,Clupea harengus pallasii,Table_10_large_copper rockfish,4.2,0.043659043659043655,8,Edmonds,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Copper rockfish,Sebastes caurinus,47.83963888888889,-122.37969444444444
FVS,adult,HE,Fish,Clupea harengus pallasii,Table_11_Lingcod,8.5,0.0850850850850851,9,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Lingcod,Ophiodon elongatus,47.61425,-122.44011111111112
MRO,adult,HE,Fish,Clupea harengus pallasii,Table_11_Rockfish,75.2,0.7535070140280561,10,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Black rockfish,Sebastes melanops,47.61425,-122.44011111111112
FVS,adult,HE,Fish,Clupea harengus pallasii,Table_11_Cabezon,0,0,11,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Cabezon,Scorpaenichthys marmoratus,47.61425,-122.44011111111112
SMD,adult,HE,Fish,Clupea harengus pallasii,Table_11_Kelp_greenling,0,0,12,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Kelp greenling,Hexagrammos decagrammus,47.61425,-122.44011111111112
ROC,adult,HE,Fish,Clupea harengus pallasii,Table_11_Brown rockfish,0,0,13,Artificial reefs,1976,Hueckel,1987,IRI,NA,mm,stomachs,Fish_Hueckel_Buckley_1987.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Hueckel_Buckley_1987.xlsx,Brown rockfish,Sebastes auriculatus,47.61425,-122.44011111111112
FDF,adult,HE,Clupeidae,Clupeidae,Table38_1976_DungenessSpit,0,0,68,Dungeness Spit,1976,Miller,1980,freq_occurrence,NA,"NA",stomachs,Fish_Miller_et_al_1980_B.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Miller_et_al_1980_B.xlsx,Pacific sand sole,Psettichthys melanostictus,48.17519444444444,-123.14841666666668
FDF,adult,HE,Clupeidae,Clupeidae,Table38_1977_DungenessSpit,7.14,0.08330416520826041,69,Dungeness Spit,1977,Miller,1980,freq_occurrence,NA,"NA",stomachs,Fish_Miller_et_al_1980_B.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Miller_et_al_1980_B.xlsx,Pacific sand sole,Psettichthys melanostictus,48.17519444444444,-123.14841666666668
FDF,adult,HE,Clupeidae,Clupeidae,Table38_1978_DungenessSpit,0,0,70,Dungeness Spit,1978,Miller,1980,freq_occurrence,NA,"NA",stomachs,Fish_Miller_et_al_1980_B.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Miller_et_al_1980_B.xlsx,Pacific sand sole,Psettichthys melanostictus,48.17519444444444,-123.14841666666668
FDF,adult,HE,Clupeidae,Clupeidae,Table38_1977_MorseCreek,8.33,0.07140408023315618,71,Morse Creek,1977,Miller,1980,freq_occurrence,NA,"NA",stomachs,Fish_Miller_et_al_1980_B.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Miller_et_al_1980_B.xlsx,Pacific sand sole,Psettichthys melanostictus,48.11819444444445,-123.35402777777777
FDF,adult,HE,Clupeidae,Clupeidae,Table38_1978_MorseCreek,0,0,72,Morse Creek,1978,Miller,1980,freq_occurrence,NA,"NA",stomachs,Fish_Miller_et_al_1980_B.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Miller_et_al_1980_B.xlsx,Pacific sand sole,Psettichthys melanostictus,48.11819444444445,-123.35402777777777
POP,adult,HE,Clupea harengus,Clupea harengus,Table_5,0,0,1,Bangor Annex,1975,Peeling,1976,freq_occurrence,NA,"NA",stomachs,Fish_Peeling_et_al_1976.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Peeling_et_al_1976.xlsx,Striped perch,Embiotoca lateralis,47.72094444444445,-122.74738888888889
FDF,adult,HE,Clupea harengus,Clupea harengus,Table_5,10,0.025,2,Bangor Annex,1975,Peeling,1976,freq_occurrence,NA,"NA",stomachs,Fish_Peeling_et_al_1976.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Peeling_et_al_1976.xlsx,Rock sole,Lepidopsetta bilineata,47.72094444444445,-122.74738888888889
FDF,adult,HE,Clupea harengus,Clupea harengus,Table_5,0,0,3,Bangor Annex,1975,Peeling,1976,freq_occurrence,NA,"NA",stomachs,Fish_Peeling_et_al_1976.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Peeling_et_al_1976.xlsx,C-O sole,Pleuronichthys coenosus,47.72094444444445,-122.74738888888889
FVS,adult,HE,Clupea harengus,Clupea harengus,Table_5,0,0,4,Bangor Annex,1975,Peeling,1976,freq_occurrence,NA,"NA",stomachs,Fish_Peeling_et_al_1976.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Peeling_et_al_1976.xlsx,Cabezon,Scorpaenichthys marmoratus,47.72094444444445,-122.74738888888889
ROC,adult,HE,Clupea harengus,Clupea harengus,Table_5,9,0.026865671641791045,5,Bangor Annex,1975,Peeling,1976,freq_occurrence,NA,"NA",stomachs,Fish_Peeling_et_al_1976.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Peeling_et_al_1976.xlsx,Copper Rockfish,Sebastes caurinus,47.72094444444445,-122.74738888888889
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_2_Valdes_Island_91,1,0.08333333333333333,11,off Valdes Island,1967,Robinson,1969,no_prey,91,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,49.083333333333336,-123.63333333333334
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_2_Valdes_Island_95,1,0.5,13,off Valdes Island,1967,Robinson,1969,no_prey,95,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,49.083333333333336,-123.63333333333334
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_9_Inside_Active_Pass_89,1,0.07142857142857142,88,Active Pass,1967,Robinson,1969,no_prey,89,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.86666666666667,-123.3
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_9_Inside_Active_Pass_94,2,0.002466091245376079,89,Active Pass,1967,Robinson,1969,no_prey,94,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.86666666666667,-123.3
