atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,data,value,proportion,index,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,file_name,full_file_name,predator_name,predator_taxa,latitude,longitude
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_23_Sandheads_Light_82,4,0.14814814814814814,402,6 miles off Sandheads Light,1967,Robinson,1969,no_prey,82,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,49.11666666666667,-123.45
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_23_Sandheads_Light_150,6,0.8571428571428571,403,6 miles off Sandheads Light,1967,Robinson,1969,no_prey,150,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,49.11666666666667,-123.45
HE,juvenile,HE,Fish,Clupea pallasii,Tow_14_Tsawwassen_Dock_CP_183,5,0.02145922746781116,154,Off end above Tsawwassen Dock,1967,Robinson,1968,no_prey,183,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49,-123.16666666666667
CU,juvenile,HE,Fish,Clupea pallasii,Tow_14_Tsawwassen_Dock_Oke_63,1,7.032348804500703e-4,156,Off end above Tsawwassen Dock,1967,Robinson,1968,no_prey,63,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Chum salmon,Oncorhynchus keta,49,-123.16666666666667
CU,juvenile,HE,Fish,Clupea pallasii,Tow_14_Tsawwassen_Dock_Oke_86,2,9.132420091324201e-4,158,Off end above Tsawwassen Dock,1967,Robinson,1968,no_prey,86,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Chum salmon,Oncorhynchus keta,49,-123.16666666666667
FPS,juvenile,HE,Fish,Clupea pallasii,Tow_14_Tsawwassen_Dock_AH_92,2,0.0019550342130987292,163,Off end above Tsawwassen Dock,1967,Robinson,1968,no_prey,92,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific sand lance,Ammodytes hexapterus,49,-123.16666666666667
HE,juvenile,HE,Fish,Clupea pallasii,Tow_15_Canoe_Pass_Buoy_CP_183,1,0.14285714285714285,171,Off Canoe Pass Buoy,1967,Robinson,1968,no_prey,183,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.03333333333333,-123.25
HE,juvenile,HE,Fish,Clupea pallasii,Tow_20_Porlier_Pass_CP_122,2,0.015151515151515152,236,4-5 miles off and above Porlier Pass,1967,Robinson,1968,no_prey,122,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.06666666666667,-123.46666666666667
HE,juvenile,HE,Fish,Clupea pallasii,Tow_20_Porlier_Pass_CP_197,1,0.01639344262295082,238,4-5 miles off and above Porlier Pass,1967,Robinson,1968,no_prey,197,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.06666666666667,-123.46666666666667
HE,juvenile,HE,Fish,Clupea pallasii,Tow_26_Point_Grey_CP_113,2,0.0029069767441860465,325,Point Grey,1967,Robinson,1968,no_prey,113,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.28333333333333,-123.28333333333333
HE,juvenile,HE,Fish,Clupea pallasii,Tow_26_Point_Grey_CP_165,7,0.0035460992907801418,326,Point Grey,1967,Robinson,1968,no_prey,165,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.28333333333333,-123.28333333333333
HE,juvenile,HE,Fish,Clupea pallasii,Tow_28_Sand_Heads_CP_105,14,0.008438818565400843,363,6 miles off sand heads,1967,Robinson,1968,no_prey,105,mm,stomachs,FISH_Robinson_et_al_1968.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_et_al_1968.xlsx,Pacific herring,Clupea pallasii,49.06666666666667,-123.45
FDF,adult,HE,Clupeidae,Clupeidae,FigB-77,0.65,0.004077535913681702,1,Strait of San Juan de Fuca,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific sand sole,Psettichthys melanostictus,48.2145,-124.08680555555556
SMD,adult,HE,Clupeidae,Clupeidae,FigB-48,0.34,0.0018143977800309512,29,Strait of San Juan de Fuca,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific staghorn sculpin,Leptocottus armatus,48.2145,-124.08680555555556
SMD,adult,HE,Clupea harengus pallasii,Clupea harengus pallasii,FigB-46,2,0.01015228426395939,31,Northern Puget Sound,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific staghorn sculpin,Leptocottus armatus,48.63961111111111,-122.66680555555556
SMD,adult,HE,Clupeiformes-Clupeoidei,Clupeiformes-Clupeoidei,FigB-46,2,0.01015228426395939,31,Northern Puget Sound,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific staghorn sculpin,Leptocottus armatus,48.63961111111111,-122.66680555555556
SMD,adult,HE,Clupeidae,Clupeidae,FigB-44,0.86,0.005191982612895434,32,Strait of San Juan de Fuca,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Buffalo sculpin,Enophrys bison,48.2145,-124.08680555555556
SMD,juvenile,HE,Clupeidae,Clupeidae,FigB-22,0.37,0.0018398806563898558,54,Strait of San Juan de Fuca,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific tomcod,Microgadus proximus,48.2145,-124.08680555555556
HE,juvenile,HE,Clupeidae,Clupeidae,FigB-3,0.42,0.009232798417234555,72,Strait of San Juan de Fuca,1975,Simenstad,1979,freq_occurrence,NA,"NA",stomachs,Fish_Simenstad_et_al_1979.xlsx,/home/atlantis/herringdiet/herring_data_rev/Fish_Simenstad_et_al_1979.xlsx,Pacific herring,Clupea pallasii,48.2145,-124.08680555555556
HSL,adult,HE,Herring 2+,Herring 2+,Figure_2_Fat_estimated,0.1349704130434783,0.13497038957036706,1,San Juan Island,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,Harbor seal,Phoca vitulina,48.63136111111111,-122.6631388888889
HSL,adult,HE,Herring 2+,Herring 2+,Figure_2_Nofat_estimate,0.11254382608695652,0.11254381630053771,2,San Juan Island,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,Harbor seal,Phoca vitulina,48.63136111111111,-122.6631388888889
NA,NA,HE,Herring 2+,Herring 2+,Figure_3_A,0.233846153846153,0.2289156626506021,3,Belle Chain Islets,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.83316666666667,-123.20041666666667
NA,NA,HE,Herring 2+,Herring 2+,Figure_3_B,0.133333333333333,0.12499999999999988,4,Bird Rocks,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.485166666666665,-122.76230555555556
NA,NA,HE,Herring 2+,Herring 2+,Figure_3_C,0.0606060606060602,0.057803468208092165,5,Padilla Bay,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.46302777777778,-122.5171388888889
NA,NA,HE,Herring 2+,Herring 2+,Figure_3_D,0.135384615384615,0.13414634146341417,6,Vendovi Island,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.60863888888889,-122.61180555555555
NA,NA,HE,Herring 2+,Herring 2+,Figure_4_A,0.0631944444444443,0.06435643564356434,7,Salish Sea,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.660805555555555,-122.71686111111111
NA,NA,HE,Herring 2+,Herring 2+,Figure_4_B,0.176190476190476,0.17411764705882363,8,Salish Sea,2007,Bromaghin,2013,diet_proportion,NA,"NA",fatty_acids_blubber,HSL_Bromaghin_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Bromaghin_et_al_2013.xlsx,NA,NA,48.660805555555555,-122.71686111111111
HSL,adult,HE,Pacific herring,Clupea harengus,Table_2__Prot_Is,43,0.086,1,Protection Island,1978,Everitt,1981,no_otoliths,NA,"NA",scats,HSL_CSL_Everrit_et_al_1981.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_CSL_Everrit_et_al_1981.xlsx,Harbor seal,Phoca vitulina,48.13261111111111,-122.93169444444445
HSL,adult,HE,Pacific herring,Clupea harengus,Table_2__Ger_Is,2,0.0032733224222585926,2,Gertrude Island,1979,Everitt,1981,no_otoliths,NA,"NA",scats,HSL_CSL_Everrit_et_al_1981.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_CSL_Everrit_et_al_1981.xlsx,Harbor seal,Phoca vitulina,47.21886111111111,-122.66130555555556
HSL,adult,HE,Herring,Clupeidae,Table_2_breeding_seals,79.7,0.9294460641399417,1,San Juan Islands,2007,Howard,2013,reconstructed_biomass,NA,"NA",scat,HSL_Howard_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Howard_et_al_2013.xlsx,Harbor seal,Phoca vitulina,48.57983333333333,-122.8936388888889
HSL,adult,HE,Herring,Clupeidae,Table_2_non-breeding_seals,81.82,0.9355133775440203,2,San Juan Islands,2007,Howard,2013,reconstructed_biomass,NA,"NA",scat,HSL_Howard_et_al_2013.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Howard_et_al_2013.xlsx,Harbor seal,Phoca vitulina,48.57983333333333,-122.8936388888889
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_Spring,88,0.38834951456310673,1,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_Spring,0,0,1,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_Summer_Fall,23,0.15939015939015935,2,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_Summer_Fall,0,0,2,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_Winter,81,0.21496815286624193,3,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_Winter,3.1,0.00822717622080679,3,Southern San Juan Channel,2005,Lance,2006,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2006.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2006.xlsx,Harbor seal,Phoca vitulina,48.45713888888889,-122.95497222222222
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_FO_Spring,41,0.1979719942056977,1,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_FO_Spring,29,0.14002897151134713,1,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_FO_Summer_Fall,39,0.16511430990685858,2,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_FO_Summer_Fall,9.8,0.04149026248941575,2,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
HSL,adult,HE,Clupeids,Clupea pallasii,Table_2_FO_Winter,59,0.17317287936601117,3,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
HSL,adult,HE,Clupeids,Clupeid spp.,Table_2_FO_Winter,3.5,0.010272967420017612,3,Eastern bays,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Harbor seal,Phoca vitulina,48.58983333333334,-122.76208333333334
PIN,adult,HE,Pacific herring,Clupea pallasii,Table_6_FO_Spring_2006_2007,17,0.05482102547565301,4,Bird and whale rocks,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.474333333333334,-122.81016666666666
PIN,adult,HE,Clupeid spp.,Clupeid spp.,Table_6_FO_Spring_2006_2007,33,0.10641728474685584,4,Bird and whale rocks,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.474333333333334,-122.81016666666666
PIN,adult,HE,Clupeids,Clupea pallasii,Table_3_FO_Spring,98,0.4977145759268666,5,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
PIN,adult,HE,Clupeids,Clupeid spp.,Table_3_FO_Spring,0,0,5,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
PIN,adult,HE,Clupeids,Clupea pallasii,Table_3_FO_Summer_Fall,17,0.07286755250750108,6,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
PIN,adult,HE,Clupeids,Clupeid spp.,Table_3_FO_Summer_Fall,14,0.06000857265323619,6,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
PIN,adult,HE,Clupeids,Clupea pallasii,Table_3_FO_Winter,81,0.2985624769627717,7,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
PIN,adult,HE,Clupeids,Clupeid spp.,Table_3_FO_Winter,19,0.07003317360855138,7,Southern San Juan Channel,2006,Lance,2007,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2007.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2007.xlsx,Steller sea lion,Eumetopias jubatus,48.480250000000005,-122.96947222222222
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_1998_July_early_december,44,0.23991275899672845,1,Hood Canal,1998,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_1998_July_early_december,0,0,1,Hood Canal,1998,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_1999_July_early_december,41,0.21376433785192903,2,Hood Canal,1999,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_1999_July_early_december,8.3,0.043274244004171,2,Hood Canal,1999,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_2000_July_early_december,3.9,0.018258426966292138,3,Hood Canal,2000,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_2000_July_early_december,49,0.22940074906367044,3,Hood Canal,2000,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_2001_July_early_december,19,0.0919206579583938,4,Hood Canal,2001,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_2001_July_early_december,33,0.15965166908563133,4,Hood Canal,2001,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_2003_July_early_december,16,0.09054895302773061,5,Hood Canal,2003,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_2003_July_early_december,52,0.29428409734012445,5,Hood Canal,2003,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_2004_July_early_december,37,0.1881993896236013,6,Hood Canal,2004,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_2004_July_early_december,13,0.06612410986775182,6,Hood Canal,2004,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_5_2005_July_early_december,19,0.10303687635574836,7,Hood Canal,2005,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_5_2005_July_early_december,9.1,0.049349240780911054,7,Hood Canal,2005,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_7_1999_March_June,40,0.18001800180018007,8,Hood Canal,1999,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_7_1999_March_June,4.1,0.018451845184518458,8,Hood Canal,1999,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupea pallasii,Table_7_2005_March_June,12,0.05388414907947911,9,Hood Canal,2005,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupeids,Clupeid species,Table_7_2005_March_June,8.3,0.037269869779973056,9,Hood Canal,2005,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.64625,-122.89566666666667
HSL,adult,HE,Clupea pallasii,Pacific herring,Table_8_Fall_1995,30,0.08563598995204384,10,South Puget Sound,1995,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.16013888888889,-122.89708333333334
HSL,adult,HE,Clupeid species,herring species,Table_8_Fall_1995,25,0.07136332496003654,10,South Puget Sound,1995,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.16013888888889,-122.89708333333334
HSL,adult,HE,Clupea pallasii,Pacific herring,Table_8_Spring_1997,11,0.11816433086012634,11,South Puget Sound,1997,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.16013888888889,-122.89708333333334
HSL,adult,HE,Clupeid species,herring species,Table_8_Spring_1997,30,0,11,South Puget Sound,1997,Lance,2009,freq_occurrence,NA,"NA",scats,HSL_Lance_&_Jeffries_2009.xlsx,/home/atlantis/herringdiet/herring_data_rev/HSL_Lance_&_Jeffries_2009.xlsx,Harbor seal,Phoca vitulina,47.16013888888889,-122.89708333333334
