atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
CO,juvenile,coho,2008,HE,herring,herring,756.5,0,47.84716667,-122.6393333,Ricker,2008,mm,stomachs,per_volume,NA
CO,juvenile,coho,2008,HE,herring.remains,herring.remains,756.5,0,47.84716667,-122.6393333,Ricker,2008,mm,stomachs,per_volume,NA
CO,juvenile,coho,2008,HE,herring,herring,500.5,0,47.8879,-122.4581167,Ricker,2008,mm,stomachs,per_volume,NA
CO,juvenile,coho,2008,HE,herring.remains,herring.remains,500.5,0,47.8879,-122.4581167,Ricker,2008,mm,stomachs,per_volume,NA
CO,juvenile,coho,2008,HE,herring,herring,829,0,47.89466667,-122.4647167,Ricker,2008,mm,stomachs,per_volume,NA
CO,juvenile,coho,2008,HE,herring.remains,herring.remains,829,0,47.89466667,-122.4647167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,427.9166666666667,0,47.32378333,-122.5111833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,427.9166666666667,0,47.32378333,-122.5111833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,416,0,47.34718333,-122.3906833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,416,0,47.34718333,-122.3906833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,440,0,47.3511,-122.5435833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,440,0,47.3511,-122.5435833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,790.2,0,47.35973333,-122.35085,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,790.2,0,47.35973333,-122.35085,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,380,0,47.36711667,-123.094,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,380,0,47.36711667,-123.094,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,409.57142857142856,0,47.3739,-122.3468667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,409.57142857142856,0,47.3739,-122.3468667,Ricker,2008,mm,stomachs,per_volume,NA
