FILE,CITA
Salmon_Duffy_et_al_2008,"Duffy, E. J., & Beauchamp, D. A. (2008). Seasonal patterns of predation on juvenile Pacific salmon by anadromous cutthroat trout in Puget Sound. Transactions of the American Fisheries Society, 137(1), 165-181."
Salmon_Jauquet_2003,"Jaquet, J. M. (2004). The occurrence of diet items in coastal cutthroat trout collected in south Puget Sound, 1999-2002. In Proceedings of the 2003 Georgia Basin/Puget Sound Research Conference. CDROM or Online. Available: http://www.psat.wa.gov/Publications/03_proceedings/start.htm (pp. 1-19)."
Salmon_Bollens_et_al_2010,"Bollens, S. M., Butler, M., Cordell, J. R., & Frost, B. W. (2010). Feeding ecology of juvenile Pacific salmon (Oncorhynchus spp.) in a northeast Pacific fjord: diet, availability of zooplankton, selectivity for prey, and potential competition for prey resources. Fishery Bulletin, 108(4), 393-407."
Salmon_Brodeur_et_al_1992,"Brodeur, R. D., Francis, R. C., & Pearcy, W. G. (1992). Food consumption of juvenile coho (Oncorhynchus kisutch) and chinook salmon (O. tshawytscha) on the continental shelf off Washington and Oregon. Canadian Journal of Fisheries and Aquatic Sciences, 49(8), 1670-1685."
Salmon_Cordell_et_al_1998,"Tanner, C. D., Aitkin, J. K., Cordell, J. R., & Higgins, H. A. (1998). Biological status of fish and invertebrate assemblages in a breached-dike wetland site at Spencer Island, Washington."
Salmon_Cordell_et_al_1999,"Cordell, J. R., Tanner, C. D., & Aitkin, J. K. (1999). Fish assemblages and juvenile salmon diets at a breached-dike wetland site, Spencer Island, Washington, 1997-98."
Salmon_Cordell_et_al_1999_B,"Jensen, K., Higgins, H. A., Cordell, J. R., & Tear, L. M. (1999). Duwamish River Coastal America restoration and reference sites: Results from 1997 monitoring studies."
Salmon_Cordell_et_al_2001,"Cordell, J. R., Tanner, C. D., & Aitkin, J. K. (1999). Fish assemblages and juvenile salmon diets at a breached-dike wetland site, Spencer Island, Washington, 1997-98."
Salmon_Cordell_et_al_2001_B,"Cordell, J. R., Tear, L. M., & Jensen, K. (2001). Biological Monitoring at Duwamish River Coastal America Restoration and Reference Sites: A Seven-Year Retrospective."
Salmon_Dale_et_al 2017,"Dale, K. E., Daly, E. A., & Brodeur, R. D. (2017). Interannual variability in the feeding and condition of subyearling Chinook salmon off Oregon and Washington in relation to fluctuating ocean conditions. Fisheries oceanography, 26(1), 1-16."
Salmon_Duffy_2003,"Duffy, E. J. (2003). Early marine distribution and trophic interactions of juvenile salmon in Puget Sound (Doctoral dissertation, University of Washington)."
Salmon_Duffy_et_al_2010,"Duffy, E. J., Beauchamp, D. A., Sweeting, R. M., Beamish, R. J., & Brennan, J. S. (2010). Ontogenetic diet shifts of juvenile Chinook salmon in nearshore and offshore habitats of Puget Sound. Transactions of the American Fisheries Society, 139(3), 803-823."
Salmon_Fresh_et_al_1978,"Fresh, K. L., Matheson, L., Simenstad, C. A., Salo, E. O., Garrison, K. J., & Rabin, D. J. (1979). Fish ecology studies in the Nisqually Reach area of southern Puget Sound, WA."
Salmon_Fresh_et_al_1981,"Fresh, K. L., Cardwell, R. D., & Koons, R. R. (1981). Food habits of Pacific salmon, baitfish and their potential competitors and predators in the marine waters of Washington, August 1978 to September 1979. State of Washington, Department of Fisheries."
Salmon_Gordon_et_al_1981,"Godin, J. G. J. (1981). Daily patterns of feeding behavior, daily rations, and diets of juvenile pink salmon (Oncorhynchus gorbuscha) in two marine bays of British Columbia. Canadian Journal of Fisheries and Aquatic Sciences, 38(1), 10-15."
Salmon_Jauquet_2002_B,"Jauquet, J. M. (2002). Coastal cutthroat trout (Oncorhynchus clarki clarki) diet in south Puget Sound, Washington 1999-2002(Doctoral dissertation, Evergreen State College)."
Salmon_Healey_et_al_1978, "Healey, M. C. (1978). The distribution, abundance, and feeding habits of juvenile Pacific salmon in Georgia Strait, British Columbia. Fisheries and Marine Service, Technical Report 788. British Columbia, Canada."
Salmon_Kennedy_et_al_2018,"Kennedy, L. A., Juanes, F., & El-Sabaawi, R. (2018). Eelgrass as valuable nearshore foraging habitat for juvenile Pacific salmon in the early marine period. Marine and Coastal Fisheries, 10(2), 190-203."
Salmon_Meyer_et_al_1981,"Meyer, J. H., Pearce, T. A., & Patlan, S. B. (1981). Distribution and food habits of juvenile salmonids in the Duwamish Estuary, Washington, 1980. Fish and Wildlife Service Olympia, WA. Fisheries Assistance Office."
Salmon_Meyer_et_al_1981_B,"Meyer, J. H., Pearce, T. A., & Boomer, R. S. (1981). An examination of the food habits of juvenile chum and chinook salmon in Hylebos Waterway. Unpubl., US Dept. Interior, Fish Wildl. Serv., Fish. Assist. Off., Olympia, WA."
Salmon_Morley_et_al_2012,"Morley, S. A., Toft, J. D., & Hanson, K. M. (2012). Ecological effects of shoreline armoring on intertidal habitats of a Puget Sound urban estuary. Estuaries and Coasts, 35(3), 774-784."
